id,family
2029,2613
2031,4331
2033,5597
2034,5013
2036,3710
2039,2674
2040,4420
2041,5329
2043,324
2045,4131
2046,5136
2047,2314
2048,4926
2049,592
2051,5892
2052,5132
2054,4948
2055,3776
2056,2277
2057,1663
2058,5366
2060,1365
2061,3372
2062,3463
2064,1529
2065,1675
2066,3800
2067,873
2068,4203
2069,1204
2070,1557
2073,4523
2074,2112
2075,234
2079,2487
2081,4777
2082,179
2084,6041
2086,3674
2088,5107
2089,4695
2090,6235
2091,132
2092,3356
2094,4102
2096,5892
2097,3428
2098,5457
2099,2302
2101,268
2103,72
2104,1020
2105,6111
2106,6372
2107,3686
2108,5186
2109,1995
2110,3959
2116,5694
2117,1980
2118,5539
2119,3744
2123,5231
2125,6147
2126,4044
2127,1696
2128,3588
2129,684
2130,415
2131,888
2132,4679
2133,1210
2134,3995
2135,2819
2136,2896
2140,767
2143,1166
2144,1949
2145,1212
2146,5820
2148,4240
2149,1985
2150,4090
2151,6208
2153,4322
2155,3378
2158,3644
2159,1087
2160,5280
2163,1210
2164,4937
2166,5153
2167,866
2168,2277
2169,1284
2170,3837
2171,2277
2172,3457
2173,2967
2174,2356
2175,2754
2176,2774
2180,2615
2181,6355
2183,4942
2186,5057
2187,1529
2188,4511
2189,6227
2190,3474
2193,5344
2194,909
2195,293
2196,2539
2197,809
2198,1747
2199,5061
2201,4361
2204,5564
2205,6114
2207,2854
2208,3776
2210,3580
2211,412
2212,787
2213,3304
2214,1578
2215,2277
2217,2112
2218,1789
2219,3932
2220,665
2221,1856
2222,2228
2224,5004
2226,2089
2227,1715
2229,3006
2232,5242
2233,2632
2234,2333
2237,2615
